EPOS ID, EPOS CODE, YIELD, GROUPING, MENU, COURSE, DISH, SELLING PRICE, TARGET GP, TAX, DISH ID
109613,1,1,Beverages,Galway,Hot Beverages,Americano Coffee,3.20,88.16,23.0000,52517,
109618,1,1,Beverages,Galway,Hot Beverages,Americano Coffee - Takeaway,2.80,78.45,23.0000,52524,
109615,1,1,Beverages,Galway,Hot Beverages,Cappuccino Coffee,3.70,82.17,23.0000,52520,
109619,1,1,Beverages,Galway,Hot Beverages,Cappuccino Coffee - Takeaway,2.90,69.52,23.0000,52525,
109616,1,1,Beverages,Galway,Hot Beverages,Espresso Coffee,2.60,80.94,23.0000,52521,
109620,1,1,Beverages,Galway,Hot Beverages,Espresso Coffee - Takeaway,2.60,72.31,23.0000,52526,
109623,1,1,Beverages,Galway,Hot Beverages,Hot Chocolate,2.80,74.8,23.0000,52529,
109624,1,1,Beverages,Galway,Hot Beverages,Hot Chocolate - Takeaway,2.80,66.8,23.0000,52530,
109614,1,1,Beverages,Galway,Hot Beverages,Latte Coffee,3.70,83.56,23.0000,52518,
109621,1,1,Beverages,Galway,Hot Beverages,Latte Coffee - Takeaway,2.90,71.29,23.0000,52527,
109622,1,1,Beverages,Galway,Hot Beverages,Tea - Takeaway,2.30,79.59,23.0000,52528,
109612,1,1,Beverages,Galway,Hot Beverages,Tea Cup,2.30,89.3,23.0000,52515,
109617,1,1,Beverages,Galway,Hot Beverages,Tea Pot,2.30,77.99,23.0000,52523,
109377,1,1,Beverages,Galway,Liqueurs,Archers Peach Schnapps,5.50,83.4,23.0000,52709,
109381,1,1,Beverages,Galway,Liqueurs,Baileys Irish Cream,5.50,80,23.0000,52720,
109375,1,1,Beverages,Galway,Liqueurs,Jagermeister,5.50,77.6,23.0000,52707,
109378,1,1,Beverages,Galway,Liqueurs,Pernod,5.50,73.3,23.0000,52710,
109380,1,1,Beverages,Galway,Liqueurs,Pimms,5.50,79,23.0000,52718,
109379,1,1,Beverages,Galway,Liqueurs,Sambuca,5.50,75,23.0000,52712,
109448,1,1,Beverages,Galway,Liqueurs,Sandeman Ruby Port,5.50,85,23.0000,53295,
109382,1,1,Beverages,Galway,Liqueurs,Tia Maria,5.50,80.9,23.0000,52730,
109369,1,1,Beverages,Galway,Liqueurs Coffee,Baileys Coffee,6.00,76.9,23.0000,52727,
109431,1,1,Beverages,Galway,Liqueurs Coffee,Calypso Coffee,6.00,56.4,23.0000,53290,
109370,1,1,Beverages,Galway,Liqueurs Coffee,French Coffee,6.00,59.1,23.0000,52728,
109367,1,1,Beverages,Galway,Liqueurs Coffee,Hot Irish Whiskey,5.50,67.1,23.0000,52724,
109371,1,1,Beverages,Galway,Liqueurs Coffee,Hot Port,5.50,79.6,23.0000,52750,
109368,1,1,Beverages,Galway,Liqueurs Coffee,Irish Coffee,6.00,66.1,23.0000,52725,
109389,1,1,Beverages,Galway,Minerals & Splits,BT Cidona 440ml,3.20,66.6,23.0000,52373,
109384,1,1,Beverages,Galway,Minerals & Splits,BT Coca Cola 200ml,3.00,75.4,23.0000,52366,
109388,1,1,Beverages,Galway,Minerals & Splits,BT Coke Zero 200ml,3.00,77.1,23.0000,52371,
109392,1,1,Beverages,Galway,Minerals & Splits,BT Cranberry Juice 200ml,3.00,74.38,23.0000,52376,
109385,1,1,Beverages,Galway,Minerals & Splits,BT Diet Coke 200ml,3.00,77.1,23.0000,52367,
109456,1,1,Beverages,Galway,Minerals & Splits,BT Elderflower Tonic Water 200ml,2.20,68.6,23.0000,52437,
109387,1,1,Beverages,Galway,Minerals & Splits,BT Fanta Lemon 200ml,3.00,80,23.0000,52370,
109386,1,1,Beverages,Galway,Minerals & Splits,BT Fanta Orange 200ml,3.00,80,23.0000,52369,
