Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Chicken Goujons 5 Pieces Meal GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",0,3.96,3.84,-0.12,63.9%,65.0%,-1.1%,11.95,12.33,-0.38,7.00,7.13,-0.12,
"Burger Meal GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",1,3.57,3.69,0.12,66.2%,65.0%,1.2%,11.50,11.12,0.38,6.98,6.86,0.12,
"Burger GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",1,1.68,1.93,0.25,69.5%,65.0%,4.5%,6.00,5.23,0.77,3.82,3.58,0.25,
"Regular Chips GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",1,0.16,0.69,0.53,94.2%,75.0%,19.2%,3.00,0.70,2.30,2.59,2.06,0.53,
"Fish & Chips GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",0,3.55,3.69,0.14,66.4%,65.0%,1.4%,11.50,11.06,0.44,7.00,6.86,0.14,
"Curry Chips GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",0,1.06,1.12,0.06,67.0%,65.0%,2.0%,3.50,3.30,0.20,2.15,2.09,0.06,
"Gourmet Burger GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",0,2.11,2.00,-0.11,68.3%,70.0%,-1.7%,7.25,7.67,-0.42,4.54,4.66,-0.11,
"Curry & Cheese Chips GWY","Food","Head Office Food Menu","Galway Fast Food","Take away",0,1.52,1.44,-0.08,63.2%,65.0%,-1.8%,4.50,4.73,-0.23,2.61,2.68,-0.08,
"Apple & Rhubarb Crumble GWY","Food","Head Office Food Menu","Galway Bistro Menu","Dessert",0,1.35,2.06,0.71,80.4%,70.0%,10.4%,7.50,4.90,2.60,5.53,4.82,0.71,
"Sticky Toffee Pudding GWY","Food","Head Office Food Menu","Galway Bistro Menu","Dessert",0,1.19,2.06,0.87,82.7%,70.0%,12.7%,7.50,4.32,3.18,5.69,4.82,0.87,
"Summer Berry Cheesecake GWY","Food","Head Office Food Menu","Galway Bistro Menu","Dessert",2,1.17,2.06,0.89,83.0%,70.0%,13.0%,7.50,4.25,3.25,5.71,4.82,0.89,
"Slow Braised Blade of Angus Beef GWY","Food","Head Office Food Menu","Galway Bistro Menu","Main Course",0,4.17,4.59,0.42,77.3%,75.0%,2.3%,20.00,18.18,1.82,14.18,13.76,0.42,
"Oven Baked Fillet of Atlantic Cod GWY","Food","Head Office Food Menu","Galway Bistro Menu","Main Course",0,4.87,4.59,-0.28,73.5%,75.0%,-1.5%,20.00,21.23,-1.23,13.48,13.76,-0.28,
"Pan Fried Supreme of Clonakilty Chicken GWY","Food","Head Office Food Menu","Galway Bistro Menu","Main Course",0,2.82,4.59,1.77,84.6%,75.0%,9.6%,20.00,12.30,7.70,15.53,13.76,1.77,
"Slow Cooked Confit Barbary Duck Leg GWY ","Food","Head Office Food Menu","Galway Bistro Menu","Main Course",0,6.43,6.42,-0.01,65.0%,65.0%,0.0%,20.00,20.02,-0.02,11.92,11.93,-0.01,
"Pan Fried Potato Gnocchi GWY","Food","Head Office Food Menu","Galway Bistro Menu","Main Course",1,2.47,4.59,2.12,86.5%,75.0%,11.5%,20.00,10.77,9.23,15.88,13.76,2.12,
"Warm Black Pudding Salad GWY","Food","Head Office Food Menu","Galway Bistro Menu","Starter",0,1.69,1.72,0.03,75.4%,75.0%,0.4%,7.50,7.37,0.13,5.19,5.16,0.03,
"Panko Encrusted Fish Cake GWY","Food","Head Office Food Menu","Galway Bistro Menu","Starter",0,1.39,1.72,0.33,79.8%,75.0%,4.8%,7.50,6.06,1.44,5.49,5.16,0.33,
"Carrot & Ginger Soup w/ Wholemeal Scone GWY","Food","Head Office Food Menu","Galway Bistro Menu","Starter",0,0.63,2.06,1.43,90.8%,70.0%,20.8%,7.50,2.29,5.21,6.25,4.82,1.43,
"Oriental Chicken Springroll GWY","Food","Head Office Food Menu","Galway Bistro Menu","Starter",4,1.70,2.06,0.36,75.3%,70.0%,5.3%,7.50,6.18,1.32,5.18,4.82,0.36,
