Date Created,31/01/2024 09:38:25
Unit,Best Group Prices



Dish Title,Menu Grouping,Menu,Course,EPoS Code,Missing Price,Actual Cost,Target Cost,Cost Variance,Theoretical Gross Profit,Target Gross Profit,Gross Profit Variance,Actual Selling Price,Target Selling Price,Selling Price Variance,Actual Cash Profit,Target Cash Profit,Cash Profit Variance
"Apple & Rhubarb Crumble GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Dessert",0,1.35,2.06,0.71,80.4%,70.0%,10.4%,7.50,4.90,2.60,5.53,4.82,0.71,
"Sticky Toffee Pudding GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Dessert",0,1.19,2.06,0.87,82.7%,70.0%,12.7%,7.50,4.32,3.18,5.69,4.82,0.87,
"Summer Berry Cheesecake GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Dessert",2,1.17,2.06,0.89,83.0%,70.0%,13.0%,7.50,4.25,3.25,5.71,4.82,0.89,
"Slow Braised Blade of Angus Beef GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Main Course",0,4.17,4.59,0.42,77.3%,75.0%,2.3%,20.00,18.18,1.82,14.18,13.76,0.42,
"Oven Baked Fillet of Atlantic Cod GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Main Course",0,4.87,4.59,-0.28,73.5%,75.0%,-1.5%,20.00,21.23,-1.23,13.48,13.76,-0.28,
"Pan Fried Supreme of Clonakilty Chicken GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Main Course",0,2.82,4.59,1.77,84.6%,75.0%,9.6%,20.00,12.30,7.70,15.53,13.76,1.77,
"Slow Cooked Confit Barbary Duck Leg GWY ","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Main Course",0,6.43,6.42,-0.01,65.0%,65.0%,0.0%,20.00,20.02,-0.02,11.92,11.93,-0.01,
"Pan Fried Potato Gnocchi GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Main Course",1,2.47,4.59,2.12,86.5%,75.0%,11.5%,20.00,10.77,9.23,15.88,13.76,2.12,
"Oriental Chicken Springroll GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Starter",4,1.70,2.06,0.36,75.3%,70.0%,5.3%,7.50,6.18,1.32,5.18,4.82,0.36,
"Carrot & Ginger Soup w/ Wholemeal Scone GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Starter",0,0.63,2.06,1.43,90.8%,70.0%,20.8%,7.50,2.29,5.21,6.25,4.82,1.43,
"Warm Black Pudding Salad GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Starter",0,1.69,1.72,0.03,75.4%,75.0%,0.4%,7.50,7.37,0.13,5.19,5.16,0.03,
"Panko Encrusted Fish Cake GWY","Food","Head Office Food Menu","Galway 2 Course Menu  €35","Starter",0,1.39,1.72,0.33,79.8%,75.0%,4.8%,7.50,6.06,1.44,5.49,5.16,0.33,
"Apple & Rhubarb Crumble GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Dessert",0,1.35,2.06,0.71,80.4%,70.0%,10.4%,7.50,4.90,2.60,5.53,4.82,0.71,
"Summer Berry Cheesecake GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Dessert",2,1.17,2.06,0.89,83.0%,70.0%,13.0%,7.50,4.25,3.25,5.71,4.82,0.89,
"Sticky Toffee Pudding GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Dessert",0,1.19,2.06,0.87,82.7%,70.0%,12.7%,7.50,4.32,3.18,5.69,4.82,0.87,
"Slow Braised Blade of Angus Beef GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Main Course",0,4.17,4.59,0.42,77.3%,75.0%,2.3%,20.00,18.18,1.82,14.18,13.76,0.42,
"Oven Baked Fillet of Atlantic Cod GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Main Course",0,4.87,4.59,-0.28,73.5%,75.0%,-1.5%,20.00,21.23,-1.23,13.48,13.76,-0.28,
"Pan Fried Supreme of Clonakilty Chicken GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Main Course",0,2.82,4.59,1.77,84.6%,75.0%,9.6%,20.00,12.30,7.70,15.53,13.76,1.77,
"Slow Cooked Confit Barbary Duck Leg GWY ","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Main Course",0,6.43,6.42,-0.01,65.0%,65.0%,0.0%,20.00,20.02,-0.02,11.92,11.93,-0.01,
"Pan Fried Potato Gnocchi GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Main Course",1,2.47,4.59,2.12,86.5%,75.0%,11.5%,20.00,10.77,9.23,15.88,13.76,2.12,
"Oriental Chicken Springroll GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Starter",4,1.70,2.06,0.36,75.3%,70.0%,5.3%,7.50,6.18,1.32,5.18,4.82,0.36,
"Carrot & Ginger Soup w/ Wholemeal Scone GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Starter",0,0.63,2.06,1.43,90.8%,70.0%,20.8%,7.50,2.29,5.21,6.25,4.82,1.43,
"Warm Black Pudding Salad GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Starter",0,1.69,1.72,0.03,75.4%,75.0%,0.4%,7.50,7.37,0.13,5.19,5.16,0.03,
"Panko Encrusted Fish Cake GWY","Food","Head Office Food Menu","Galway 3 Course Menu  €40","Starter",0,1.39,1.72,0.33,79.8%,75.0%,4.8%,7.50,6.06,1.44,5.49,5.16,0.33,
"BT Sprite Zero 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,0.0%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coca Cola 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.60,0.60,0.00,75.4%,75.4%,0.0%,3.00,3.00,0.00,1.84,1.84,0.00,
"BT Diet Coke 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Fanta Orange 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Fanta Lemon 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.49,0.49,0.00,79.9%,80.0%,-0.1%,3.00,3.01,-0.01,1.95,1.95,0.00,
"BT Coke Zero 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.56,0.56,0.00,77.0%,77.1%,-0.1%,3.00,3.01,-0.01,1.88,1.88,0.00,
"BT Cidona 440ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.87,0.87,0.00,69.4%,69.5%,-0.1%,3.50,3.51,-0.01,1.98,1.98,0.00,
"BT Lucozade","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.75,0.75,0.00,73.6%,73.7%,0.0%,3.50,3.50,0.00,2.10,2.10,0.00,
"BT Orange Juice 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.63,0.62,-0.01,74.2%,74.4%,-0.2%,3.00,3.02,-0.02,1.81,1.81,-0.01,
"BT Cranberry Juice 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.63,0.62,-0.01,74.2%,74.4%,-0.2%,3.00,3.02,-0.02,1.81,1.81,-0.01,
"BT Still Water 330ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.46,0.46,0.00,83.8%,83.9%,-0.1%,3.50,3.51,-0.01,2.39,2.39,0.00,
"BT Sparkling Water 330ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.46,0.46,0.00,83.8%,83.9%,-0.1%,3.50,3.51,-0.01,2.39,2.39,0.00,
"BT Still Water 750ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,1.12,1.13,0.01,77.0%,76.9%,0.1%,6.00,5.96,0.04,3.76,3.75,0.01,
"BT Sparkling Water 750ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,1.12,1.13,0.01,77.0%,76.9%,0.1%,6.00,5.96,0.04,3.76,3.75,0.01,
"BT Tonic Water 125ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.44,0.44,0.00,78.4%,78.5%,-0.1%,2.50,2.52,-0.02,1.59,1.60,0.00,
"BT Slimline Tonic 125ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.44,0.44,0.00,78.4%,78.5%,-0.1%,2.50,2.52,-0.02,1.59,1.60,0.00,
"BT White Lemonade 125ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.45,0.45,0.00,77.9%,77.7%,0.2%,2.50,2.48,0.02,1.58,1.58,0.00,
"BT Ginger Ale 125ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.44,0.44,0.00,78.4%,78.5%,-0.1%,2.50,2.52,-0.02,1.59,1.60,0.00,
"BT Soda Water 125ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.44,0.44,0.00,78.4%,78.5%,-0.1%,2.50,2.52,-0.02,1.59,1.60,0.00,
"BT Still Water 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.28,0.27,-0.01,88.5%,89.0%,-0.5%,3.00,3.13,-0.13,2.16,2.17,-0.01,
"BT Sparkling Water 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",1,0.00,0.27,0.27,100.0%,89.0%,11.0%,3.00,0.00,3.00,2.44,2.17,0.27,
"BT Coke Zero 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.92,0.92,0.00,58.1%,57.9%,0.2%,2.70,2.69,0.01,1.28,1.27,0.00,
"BT Apple Juice 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.29,0.29,0.00,88.1%,88.1%,0.0%,3.00,2.99,0.01,2.15,2.15,0.00,
"BT Coca Cola 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,1.01,1.01,0.00,58.6%,58.6%,0.0%,3.00,3.00,0.00,1.43,1.43,0.00,
"BT Sprite Zero 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,1.70,1.70,0.00,30.3%,30.3%,0.0%,3.00,3.00,0.00,0.74,0.74,0.00,
"Splash Lemon & Lime 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.22,0.22,0.00,72.9%,72.4%,0.6%,1.00,0.98,0.02,0.59,0.59,0.00,
"Dash Red Lemonade 100ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.10,0.10,0.00,87.7%,88.3%,-0.6%,1.00,1.05,-0.05,0.71,0.72,0.00,
"Dash White Lemonade 100ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.09,0.09,0.00,88.9%,88.6%,0.3%,1.00,0.97,0.03,0.72,0.72,0.00,
"Dash Cordial Orange 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Lime 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Dash Cordial Blackcurrant 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,81.6%,81.3%,0.3%,1.00,0.99,0.01,0.66,0.66,0.00,
"Jug of Cordial Blackcurrant 300ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Orange 300ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"Jug of Cordial Lime 300ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.30,0.30,0.00,87.7%,87.5%,0.2%,3.00,2.96,0.04,2.14,2.13,0.00,
"PT Cordial Orange 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Blackcurrant 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"PT Cordial Lime 150ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.15,0.15,0.00,87.7%,87.5%,0.2%,1.50,1.48,0.02,1.07,1.07,0.00,
"BT Fanta Orange 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.80,0.80,0.00,67.2%,67.1%,0.1%,3.00,2.99,0.01,1.64,1.64,0.00,
"BT Fanta Lemon 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.86,0.86,0.00,64.7%,64.7%,0.0%,3.00,3.00,0.00,1.58,1.58,0.00,
"Splash Fanta Orange 150ml ","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.24,0.24,0.00,70.5%,70.4%,0.1%,1.00,1.00,0.00,0.57,0.57,0.00,
"Splash Fanta Lemon 150ml ","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.26,0.26,0.00,68.0%,68.2%,-0.2%,1.00,1.01,-0.01,0.55,0.55,0.00,
"Sqeez Orange Juice 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.30,0.30,0.00,81.6%,81.4%,0.2%,2.00,1.98,0.02,1.33,1.32,0.00,
"Sqeez Apple Juice 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.30,0.30,0.00,81.6%,81.4%,0.2%,2.00,1.98,0.02,1.33,1.32,0.00,
"Can Monster Energy 250ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.88,0.88,0.00,77.0%,77.1%,-0.1%,4.70,4.73,-0.03,2.94,2.95,0.00,
"BT Diet Coke 500ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.92,0.92,0.00,62.3%,62.1%,0.2%,3.00,2.98,0.02,1.52,1.51,0.00,
"BT Elderflower Tonic Water 200ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.56,0.56,0.00,80.3%,80.3%,0.0%,3.50,3.49,0.01,2.29,2.28,0.00,
"Can Boost Energy 250ml","Beverages","Shelbourne Park Dublin","Minerals & Splits","1",0,0.77,0.77,0.00,72.9%,73.0%,-0.1%,3.50,3.51,-0.01,2.08,2.08,0.00,
"L/N Heineken 355ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.35,1.35,0.00,74.8%,74.8%,0.1%,6.60,6.59,0.01,4.02,4.01,0.00,
"L/N Coors Light 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.15,1.15,0.00,78.6%,78.6%,0.0%,6.60,6.61,-0.01,4.22,4.22,0.00,
"L/N Sol 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.26,1.26,0.00,76.5%,76.5%,0.0%,6.60,6.60,0.00,4.11,4.11,0.00,
"PT BTL Smithwicks 568ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,2.02,1.93,-0.09,58.6%,60.4%,-1.8%,6.00,6.27,-0.27,2.86,2.94,-0.09,
"L/N Heineken 0.0 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.01,1.01,0.00,77.4%,77.5%,-0.1%,5.50,5.51,-0.01,3.46,3.46,0.00,
"L/N Birra Moretti 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.54,1.54,0.00,71.3%,71.3%,0.0%,6.60,6.60,0.00,3.83,3.83,0.00,
"L/N Desperados 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.67,1.67,0.00,69.3%,69.4%,-0.1%,6.70,6.72,-0.02,3.78,3.78,0.00,
"PT BTL Orchard Thieves 568ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,2.33,2.33,0.00,60.7%,60.8%,-0.1%,7.30,7.31,-0.01,3.60,3.61,0.00,
"L/N Peroni GF 330ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.50,1.50,0.00,72.0%,72.0%,0.0%,6.60,6.60,0.00,3.87,3.87,0.00,
"L/N Smirnoff Ice 275ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.34,1.29,-0.05,74.2%,75.2%,-0.9%,6.40,6.64,-0.24,3.86,3.91,-0.05,
"L/N WKD Blue 275ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.18,1.18,0.00,77.3%,77.3%,0.0%,6.40,6.39,0.01,4.02,4.02,0.00,
"Can WCC Original 250ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.78,1.62,-0.16,66.3%,69.3%,-3.0%,6.50,7.13,-0.63,3.50,3.66,-0.16,
"Can WCC Rose 250ml","Beverages","Shelbourne Park Dublin","Bottled Beer","1",0,1.78,1.62,-0.16,66.3%,69.3%,-3.0%,6.50,7.13,-0.63,3.50,3.66,-0.16,
"PT Guinness","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.00,2.15,0.15,62.7%,60.0%,2.7%,6.60,6.15,0.45,3.37,3.22,0.15,
"PT Heineken","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.10,2.13,0.03,63.1%,62.5%,0.6%,7.00,6.89,0.11,3.59,3.56,0.03,
"PT Murphys Red Ale","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.06,2.09,0.03,63.3%,62.8%,0.5%,6.90,6.81,0.09,3.55,3.52,0.03,
"PT Coors Light","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.10,2.13,0.03,63.1%,62.5%,0.6%,7.00,6.89,0.11,3.59,3.56,0.03,
"PT Moretti","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.46,2.49,0.03,61.7%,61.2%,0.5%,7.90,7.80,0.10,3.96,3.93,0.03,
"PT Orchards Thieves","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,2.19,2.22,0.03,62.1%,61.5%,0.6%,7.10,6.99,0.11,3.58,3.55,0.03,
"GL Guinness","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.00,1.01,0.01,63.8%,63.5%,0.3%,3.40,3.37,0.03,1.76,1.76,0.01,
"PT Fosters","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.90,1.90,0.00,57.5%,57.4%,0.1%,5.50,5.49,0.01,2.57,2.57,0.00,
"GL Heineken","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.05,1.08,0.03,64.1%,63.0%,1.1%,3.60,3.49,0.11,1.88,1.84,0.03,
"GL Coors Light","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.05,1.08,0.03,64.1%,63.0%,1.1%,3.60,3.49,0.11,1.88,1.84,0.03,
"GL Moretti","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.23,1.26,0.03,62.2%,61.2%,1.0%,4.00,3.90,0.10,2.02,1.99,0.03,
"GL Orchard Thieves","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.10,1.10,0.00,61.3%,61.5%,-0.1%,3.50,3.51,-0.01,1.75,1.75,0.00,
"GL Murphys Red Ale","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,1.03,1.06,0.03,63.8%,62.8%,1.0%,3.50,3.40,0.10,1.82,1.79,0.03,
"GL Fosters","Beverages","Shelbourne Park Dublin","Draught Beer","1",0,0.95,0.95,0.00,59.7%,59.6%,0.1%,2.90,2.89,0.01,1.41,1.41,0.00,
"Copperfield Pinotage South Africa 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,6.47,6.48,0.01,74.3%,74.3%,0.0%,31.00,30.97,0.03,18.73,18.73,0.01,
"Montgravet Merlot France 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,7.51,7.51,0.00,69.1%,69.1%,0.0%,29.90,29.89,0.01,16.80,16.80,0.00,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,6.80,6.81,0.01,72.0%,72.0%,0.0%,29.90,29.87,0.03,17.51,17.50,0.01,
"Solandia Nero D'avola Italy 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,7.06,7.06,0.00,70.1%,70.0%,0.0%,29.00,28.98,0.02,16.52,16.51,0.00,
"Monologo Rioja Crianza Spain 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,9.02,9.02,0.00,66.4%,66.4%,0.0%,33.00,33.00,0.00,17.81,17.81,0.00,
"Aires Andinos Malbec Argentina 75cl","Beverages","Shelbourne Park Dublin","Red Wine Bottle","1",0,7.21,7.21,0.00,73.1%,73.1%,0.0%,33.00,33.00,0.00,19.62,19.62,0.00,
"Montgravet Merlot France 75cl","Beverages","Shelbourne Park Dublin","Red Wine Glass","2",0,7.51,1.79,-5.72,-15.5%,72.5%,-88.0%,8.00,33.59,-25.59,-1.01,4.72,-5.72,
"Montanas Y Mar Cabernet Sauvignon Chile 75cl","Beverages","Shelbourne Park Dublin","Red Wine Glass","2",0,6.80,1.62,-5.18,-4.6%,75.1%,-79.6%,8.00,33.59,-25.59,-0.30,4.88,-5.18,
"Solandia Nero D'avola Italy 75cl","Beverages","Shelbourne Park Dublin","Red Wine Glass","2",0,7.06,1.68,-5.38,-15.8%,72.4%,-88.2%,7.50,31.46,-23.96,-0.96,4.41,-5.38,
"Tocornal Chardonnay Chile 75cl","Beverages","Shelbourne Park Dublin","White Wine Bottle","1",0,6.52,6.52,0.00,72.3%,72.3%,0.0%,29.00,28.99,0.01,17.06,17.06,0.00,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Shelbourne Park Dublin","White Wine Bottle","1",0,6.40,6.40,0.00,73.7%,73.7%,0.0%,29.90,29.89,0.01,17.91,17.91,0.00,
"Lopez de Haro Rosado Spain 75cl","Beverages","Shelbourne Park Dublin","White Wine Bottle","1",0,8.62,8.62,0.00,66.9%,66.9%,0.0%,32.00,32.01,-0.01,17.40,17.40,0.00,
"Marlborough Sun Sauvignon Blanc 75cl","Beverages","Shelbourne Park Dublin","White Wine Bottle","1",0,11.24,11.24,0.00,67.8%,67.9%,0.0%,43.00,43.02,-0.02,23.72,23.72,0.00,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Shelbourne Park Dublin","White Wine Bottle","1",0,6.82,6.82,0.00,71.9%,71.9%,0.0%,29.90,29.90,0.00,17.49,17.49,0.00,
"Tocornal Chardonnay Chile 75cl","Beverages","Shelbourne Park Dublin","White Wine Glass","2",0,6.52,1.55,-4.97,-6.9%,74.5%,-81.5%,7.50,31.49,-23.99,-0.42,4.54,-4.97,
"Borsari Pinot Grigio Garganega Italy 75cl","Beverages","Shelbourne Park Dublin","White Wine Glass","2",0,6.40,1.52,-4.88,1.6%,76.6%,-75.0%,8.00,33.58,-25.58,0.10,4.98,-4.88,
"Montanas Y Mar Sauvignon Blanc Chile 75cl","Beverages","Shelbourne Park Dublin","White Wine Glass","2",0,6.82,1.62,-5.20,-4.9%,75.0%,-79.9%,8.00,33.59,-25.59,-0.32,4.88,-5.20,
"Lanson Black Label Brut France 75cl","Beverages","Shelbourne Park Dublin","Champagne/Sparkling Bottle","1",0,39.63,39.64,0.01,45.8%,45.8%,0.0%,90.00,89.99,0.01,33.54,33.53,0.01,
"Dogarina Prosecco Italy 75cl","Beverages","Shelbourne Park Dublin","Champagne/Sparkling Bottle","1",0,8.58,8.59,0.01,67.0%,67.0%,0.0%,32.00,31.98,0.02,17.44,17.43,0.01,
"Segura Viudas Brut Reserva Cava Spain 75cl","Beverages","Shelbourne Park Dublin","Champagne/Sparkling Bottle","1",0,13.28,13.27,-0.01,59.2%,59.2%,0.0%,40.00,40.02,-0.02,19.24,19.25,-0.01,
"Lanson Rose Label France 75cl","Beverages","Shelbourne Park Dublin","Champagne/Sparkling Bottle","1",0,50.83,50.83,0.00,43.2%,43.2%,0.0%,110.00,109.99,0.01,38.60,38.60,0.00,
"Torres Natureo Moscatel Spain 75cl","Beverages","Shelbourne Park Dublin","N/A Wine Bottle","1",0,5.25,5.25,0.00,64.1%,64.1%,0.0%,18.00,17.99,0.01,9.38,9.38,0.00,
"Cosmopolitan","Beverages","Shelbourne Park Dublin","Cocktails","1",1,2.39,2.68,0.29,73.3%,70.0%,3.3%,11.00,9.80,1.20,6.55,6.26,0.29,
"Huzzar Vodka","Beverages","Shelbourne Park Dublin","Vodka","1",0,0.87,1.10,0.23,80.2%,75.0%,5.2%,5.40,4.28,1.12,3.52,3.29,0.23,
"Smirnoff Vodka","Beverages","Shelbourne Park Dublin","Vodka","1",0,0.81,0.80,-0.01,81.6%,81.7%,-0.2%,5.40,5.44,-0.04,3.58,3.59,-0.01,
"Cork Dry Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,0.87,0.85,-0.02,80.2%,80.6%,-0.4%,5.40,5.52,-0.12,3.52,3.54,-0.02,
"Gordons Original Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,0.95,0.93,-0.02,77.5%,78.0%,-0.5%,5.20,5.31,-0.11,3.28,3.30,-0.02,
"Hendricks Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,1.71,1.71,0.00,73.7%,73.8%,-0.1%,8.00,8.02,-0.02,4.79,4.80,0.00,
"Glendalough Rose Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,1.51,1.51,0.00,67.4%,67.4%,0.0%,5.70,5.70,0.00,3.12,3.12,0.00,
"Glendalough Wild Botanical Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,1.60,1.60,0.00,65.5%,65.5%,0.0%,5.70,5.70,0.00,3.03,3.04,0.00,
"Brockman's Premium Gin","Beverages","Shelbourne Park Dublin","Gin","1",0,1.57,1.57,0.00,77.3%,77.3%,0.0%,8.50,8.51,-0.01,5.34,5.34,0.00,
"Bacardi","Beverages","Shelbourne Park Dublin","Rum","1",0,0.91,0.91,0.00,79.6%,79.6%,0.1%,5.50,5.48,0.02,3.56,3.56,0.00,
"Captain Morgan Spiced","Beverages","Shelbourne Park Dublin","Rum","1",0,0.86,0.85,-0.01,80.8%,81.0%,-0.2%,5.50,5.57,-0.07,3.61,3.62,-0.01,
"Malibu","Beverages","Shelbourne Park Dublin","Rum","2",0,0.78,0.77,-0.01,82.6%,82.8%,-0.2%,5.50,5.58,-0.08,3.69,3.70,-0.01,
"Redbreast 12 Years Old Single Malt","Beverages","Shelbourne Park Dublin","Whiskey - Irish","1",0,2.87,2.63,-0.24,64.7%,67.6%,-2.9%,10.00,10.90,-0.90,5.26,5.50,-0.24,
"Jameson","Beverages","Shelbourne Park Dublin","Whiskey - Irish","1",0,1.18,1.16,-0.02,73.1%,73.5%,-0.4%,5.40,5.48,-0.08,3.21,3.23,-0.02,
"Powers","Beverages","Shelbourne Park Dublin","Whiskey - Irish","1",0,1.12,1.10,-0.02,74.5%,75.0%,-0.5%,5.40,5.51,-0.11,3.27,3.29,-0.02,
"Bushmills Original","Beverages","Shelbourne Park Dublin","Whiskey - Irish","1",0,1.03,1.03,0.00,77.0%,77.0%,0.0%,5.50,5.50,0.00,3.44,3.44,0.00,
"Bushmills 10 Years Old Single Malt","Beverages","Shelbourne Park Dublin","Whiskey - Irish","1",0,1.69,1.69,0.00,76.9%,76.9%,0.0%,9.00,9.01,-0.01,5.63,5.63,0.00,
